City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,San Onofre,CO,77.45,overcast clouds,9.7359,-75.5263,Hotel Sinai
2,Natal,BR,79.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
3,Hithadhoo,MV,83.48,overcast clouds,-0.6,73.0833,Scoop Guest House
5,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
6,Keshod,IN,88.68,broken clouds,21.3,70.25,Hotel New Rajdhani
7,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
8,Atuona,PF,78.21,clear sky,-9.8,-139.0333,Villa Enata
13,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
18,Katsuura,JP,77.14,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
20,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
35,Andros Town,BS,76.96,clear sky,24.7,-77.7667,Hanks place
41,Podor,MR,83.16,overcast clouds,16.6527,-14.9587,Auberge Du Tékrour
42,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
46,Cabo San Lucas,MX,84.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
50,Buckeye,US,76.68,clear sky,33.3703,-112.5838,Buckeye Motor Hotel
58,Ko Samui,TH,85.91,moderate rain,9.5357,99.9357,The Passage Samui Villas & Resort
61,Nabire,ID,77.09,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
67,Tabas,IR,86.47,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
69,Kapaa,US,80.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
70,Kalmunai,LK,88.99,broken clouds,7.4167,81.8167,VS Villa
74,Kawalu,ID,75.61,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
76,Butaritari,KI,82.44,few clouds,3.0707,172.7902,Isles Sunset Lodge
81,Noumea,NC,80.58,few clouds,-22.2763,166.4572,Hôtel Le Lagon
88,Hobyo,SO,82.78,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
91,Ambulu,ID,81.55,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
92,Baillif,GP,78.64,scattered clouds,16.0202,-61.7463,Hôtel Saint-Georges
94,Yenagoa,NG,76.5,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
103,Tutoia,BR,79.07,broken clouds,-2.7619,-42.2744,Pousada Guará's
115,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
122,Koutiala,ML,76.84,clear sky,12.3917,-5.4642,Hotel Campement Poule Verte
137,Bundaberg,AU,79.21,clear sky,-24.85,152.35,Takalvan Motel
140,Labuhan,ID,89.85,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
148,Karratha,AU,84.42,clear sky,-20.7377,116.8463,ibis Styles Karratha
149,Pasni,PK,81.45,clear sky,25.2631,63.471,Kashmiri Hotal
155,Dwarka,IN,84.25,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
162,Boyolangu,ID,82.53,light rain,-8.1181,111.8935,Yos ega cv
169,San Policarpo,PH,81.54,light rain,12.1791,125.5072,Agapita M. Nicart
172,Rapar,IN,88.23,few clouds,23.5667,70.6333,Dharamshi Bapa’s Home
173,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
186,Isangel,VU,80.71,few clouds,-19.55,169.2667,Tanna Lodge
188,Kavieng,PG,76.73,moderate rain,-2.5744,150.7967,Nusa Island Retreat
195,Dingle,PH,85.6,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
196,Santa Marta,CO,78.85,overcast clouds,11.2408,-74.199,Casa de Isabella
197,Meulaboh,ID,85.26,moderate rain,4.1363,96.1285,Kost Pria
198,Kandrian,PG,78.75,light rain,-6.2167,149.55,Kandrian Station
200,Cockburn Town,TC,83.39,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
203,Quatre Cocos,MU,77.11,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
204,Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
206,Akyab,MM,86.22,clear sky,20.15,92.9,Hotel Memory
207,Touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
209,Sinjai,ID,86.43,overcast clouds,-5.1241,120.253,Wisma Sandika
212,Bengkulu,ID,82.24,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
214,Kieta,PG,83.1,light rain,-6.2167,155.6333,Uruna Bay Retreat
215,Airai,TL,76.5,broken clouds,-8.9266,125.4092,Juvinal Martin
216,Bam,IR,88.07,broken clouds,29.106,58.357,Bam Tourist Hotel
217,Alangilan,PH,83.48,overcast clouds,9.2793,122.8789,La Hermesa Beach Resort
220,Chau Doc,VN,80.85,heavy intensity rain,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
225,Bambous Virieux,MU,77.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
226,Acarau,BR,78.22,broken clouds,-2.8856,-40.12,castelo pizzaria
229,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
232,Sangamner,IN,84.88,broken clouds,19.5667,74.2167,Government Rest House
233,Keti Bandar,PK,84.16,few clouds,24.1447,67.4497,Haji laloo memon house
236,Salinopolis,BR,79.34,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
237,Morant Bay,JM,80.22,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
239,Saint-Philippe,RE,76.59,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
242,Georgetown,MY,77.95,heavy intensity rain,5.4112,100.3354,Cititel Penang
243,Mitsamiouli,KM,80.89,few clouds,-11.3847,43.2844,Foyer ADM
244,Padang,ID,87.85,overcast clouds,-0.9492,100.3543,Mercure Padang
246,Manggar,ID,84.69,broken clouds,-2.8833,108.2667,Guest Hotel
247,Port Blair,IN,81.46,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
248,Honiara,SB,82.63,broken clouds,-9.4333,159.95,Heritage Park Hotel
252,Kirakira,SB,82.69,scattered clouds,-10.4544,161.9205,SanBiz Lodge
254,Hervey Bay,AU,79.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
258,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
259,Acapulco,MX,78.67,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
