City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Guerrero Negro,MX,27.9769,-114.0611,70.3,76,1,14.16,clear sky
1,San Onofre,CO,9.7359,-75.5263,77.45,92,100,3.18,overcast clouds
2,Natal,BR,-5.795,-35.2094,79.02,83,20,8.05,few clouds
3,Hithadhoo,MV,-0.6,73.0833,83.48,76,90,14.47,overcast clouds
4,Okhotsk,RU,59.3833,143.3,34.75,65,61,14.94,broken clouds
5,Saint-Pierre,RE,-21.3393,55.4781,76.68,70,0,5.75,clear sky
6,Keshod,IN,21.3,70.25,88.68,62,83,7.85,broken clouds
7,Mahebourg,MU,-20.4081,57.7,77.29,69,75,8.05,broken clouds
8,Atuona,PF,-9.8,-139.0333,78.21,79,9,21.56,clear sky
9,Punta Arenas,CL,-53.15,-70.9167,41.11,65,0,13.8,clear sky
10,Lavrentiya,RU,65.5833,-171.0,36.59,100,100,5.14,light rain
11,Rikitea,PF,-23.1203,-134.9692,73.72,80,93,22.24,light rain
12,Mar Del Plata,AR,-38.0023,-57.5575,51.13,61,90,8.99,light rain
13,Vaini,TO,-21.2,-175.2,77.16,88,40,6.91,scattered clouds
14,Barrow,US,71.2906,-156.7887,28.42,86,90,12.66,overcast clouds
15,Albany,US,42.6001,-73.9662,59.81,96,93,1.54,overcast clouds
16,Saskylakh,RU,71.9167,114.0833,24.19,96,100,2.44,overcast clouds
17,Hilo,US,19.7297,-155.09,74.93,87,90,0.0,light rain
18,Katsuura,JP,35.1333,140.3,77.14,79,57,21.32,broken clouds
19,Bhinmal,IN,25.0,72.25,91.98,43,6,5.21,clear sky
20,Vila Velha,BR,-20.3297,-40.2925,75.15,88,90,8.05,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,62.51,72,100,3.47,overcast clouds
22,Nantucket,US,41.2835,-70.0995,60.94,93,88,14.97,overcast clouds
23,Westport,US,41.1415,-73.3579,62.8,91,90,4.0,overcast clouds
24,Cape Town,ZA,-33.9258,18.4232,61.88,67,0,5.01,clear sky
25,Blagodatnoye,RU,45.3997,42.5867,41.92,61,100,18.3,overcast clouds
26,Victoria,HK,22.2855,114.1577,93.16,60,4,1.01,clear sky
27,Lompoc,US,34.6391,-120.4579,62.56,87,90,4.61,overcast clouds
