City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Alakurtti,RU,2021-10-03 06:11:02,66.9672,30.3491,42.64,91,100,3.11
1,Tiksi,RU,2021-10-03 06:09:30,71.6872,128.8694,28.6,81,92,15.01
2,Upernavik,GL,2021-10-03 06:08:32,72.7868,-56.1549,30.56,76,100,8.12
3,Pevek,RU,2021-10-03 06:10:14,69.7008,170.3133,25.95,90,98,13.96
4,Bluff,NZ,2021-10-03 06:08:17,-46.6,168.3333,50.81,77,100,13.65
5,Paita,PE,2021-10-03 06:11:04,-5.0892,-81.1144,62.49,83,6,8.34
6,Rikitea,PF,2021-10-03 06:08:12,-23.1203,-134.9692,72.82,70,30,19.42
7,Bengkulu,ID,2021-10-03 06:06:26,-3.8004,102.2655,82.6,77,37,8.84
8,Hithadhoo,MV,2021-10-03 06:08:38,-0.6,73.0833,83.75,70,20,13.82
9,Praia Da Vitoria,PT,2021-10-03 06:11:06,38.7333,-27.0667,70.75,93,99,6.89
10,Sinjai,ID,2021-10-03 06:11:06,-5.1241,120.253,86.41,60,45,9.98
11,Avarua,CK,2021-10-03 06:08:38,-21.2078,-159.775,73.45,83,75,8.05
12,Ilulissat,GL,2021-10-03 06:11:07,69.2167,-51.1,26.62,54,27,4.61
13,Punta Arenas,CL,2021-10-03 06:08:36,-53.15,-70.9167,41.11,87,75,8.05
14,Cherskiy,RU,2021-10-03 06:09:29,68.75,161.3,24.31,93,100,9.51
15,Verkhovyna,UA,2021-10-03 06:11:08,48.1557,24.7911,50.72,61,15,2.57
16,Fukue,JP,2021-10-03 06:11:08,32.6881,128.8419,79.12,75,0,8.97
17,Shelburne,CA,2021-10-03 06:11:09,44.0787,-80.2041,62.6,73,99,6.06
18,Kidal,ML,2021-10-03 06:11:09,18.4411,1.4078,79.84,17,8,9.46
19,Klaksvik,FO,2021-10-03 06:06:13,62.2266,-6.589,50.92,88,100,25.7
20,New Norfolk,AU,2021-10-03 06:08:52,-42.7826,147.0587,64.76,63,94,1.01
21,Ambon,ID,2021-10-03 06:08:18,-3.6954,128.1814,84.34,74,40,9.22
22,Havoysund,NO,2021-10-03 06:11:10,70.9963,24.6622,50.88,76,67,24.36
23,Hobart,AU,2021-10-03 06:08:14,-42.8794,147.3294,65.12,82,40,1.01
24,Port Alfred,ZA,2021-10-03 06:08:39,-33.5906,26.891,56.32,58,80,20.62
25,Isangel,VU,2021-10-03 06:11:11,-19.55,169.2667,76.06,88,83,8.97
26,Ushuaia,AR,2021-10-03 06:08:25,-54.8,-68.3,37.06,81,40,5.75
27,Henties Bay,NA,2021-10-03 06:11:12,-22.116,14.2845,52.86,88,19,0.56
28,Poum,NC,2021-10-03 06:11:12,-20.2333,164.0167,75.88,81,4,13.06
29,Soyo,AO,2021-10-03 06:11:13,-6.1349,12.3689,74.61,82,98,7.58
30,Albany,US,2021-10-03 06:04:22,42.6001,-73.9662,59.41,90,59,3.22
31,Nhulunbuy,AU,2021-10-03 06:11:13,-12.2333,136.7667,86.61,62,100,12.66
32,Busselton,AU,2021-10-03 06:08:28,-33.65,115.3333,64.04,48,38,13.69
33,Xining,CN,2021-10-03 06:10:41,36.6167,101.7667,53.17,47,100,7.74
34,Arraial Do Cabo,BR,2021-10-03 06:07:08,-22.9661,-42.0278,70.7,90,93,2.26
35,Wanning,CN,2021-10-03 06:11:14,18.8003,110.3967,85.73,68,40,8.99
